latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm),precipitation (mm),snow_depth (m),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2025-01-01T00:00,8.2,81,0.00,0.00,0.00,0.00,10.7,24.6,85,104
2025-01-01T01:00,8.1,82,0.00,0.00,0.00,0.00,10.8,24.3,54,81
2025-01-01T02:00,7.4,87,3.10,0.00,3.10,0.00,9.7,23.1,42,75
2025-01-01T03:00,7.4,91,2.80,0.00,2.80,0.00,12.2,25.0,45,73
2025-01-01T04:00,8.1,93,3.40,0.00,3.40,0.00,17.5,33.4,88,99
2025-01-01T05:00,9.1,95,0.90,0.00,0.90,0.00,12.4,24.2,92,115
2025-01-01T06:00,8.6,98,0.00,0.00,0.00,0.00,5.0,16.1,134,174
2025-01-01T07:00,8.9,99,0.00,0.00,0.00,0.00,8.3,19.5,182,204
2025-01-01T08:00,8.8,98,0.00,0.00,0.00,0.00,9.3,19.7,223,235
2025-01-01T09:00,8.3,99,0.00,0.00,0.00,0.00,10.7,21.5,243,251
2025-01-01T10:00,7.9,97,0.00,0.00,0.00,0.00,14.2,26.0,262,267
2025-01-01T11:00,6.7,96,0.00,0.00,0.00,0.00,13.3,25.6,270,274
2025-01-01T12:00,5.6,96,0.00,0.00,0.00,0.00,12.3,25.6,264,268
2025-01-01T13:00,7.1,96,0.00,0.00,0.00,0.00,12.6,25.6,251,258
2025-01-01T14:00,8.1,92,0.00,0.00,0.00,0.00,12.3,29.0,243,255
2025-01-01T15:00,9.6,85,0.00,0.00,0.00,0.00,11.1,21.7,239,251
2025-01-01T16:00,10.4,76,0.00,0.00,0.00,0.00,15.9,25.4,264,263
2025-01-01T17:00,10.9,70,0.00,0.00,0.00,0.00,15.7,24.6,264,265
2025-01-01T18:00,10.6,67,0.00,0.00,0.00,0.00,19.9,31.4,265,266
2025-01-01T19:00,8.4,70,0.00,0.00,0.00,0.00,22.5,37.4,281,281
2025-01-01T20:00,6.8,69,0.00,0.00,0.00,0.00,23.2,39.0,291,291
2025-01-01T21:00,5.9,71,0.10,0.00,0.10,0.00,20.8,36.3,287,288
2025-01-01T22:00,5.2,72,0.10,0.00,0.10,0.00,19.5,34.9,282,284
